Common Name,Sample ID,Band  #,Web Tag #,Nest ID,HS Bird ID,Species,Species.1,Sex,Capture,Health,Age,Age simple,Wild/Dom.,Habitat,Sample Type,GPS N,GPS W,Time,Date,Month,Year,Name,Location,Data Sheet,Capture #,Banding Date,Recap?,Ours or Foreign?,Category,Mass,Head,Total Tarsus,Wing Chord,Culmen,Grain Index,Blood Vial,Serum Vial,Whole Blood,Specific Location,Capture Method,Vial Notes,Marker Notes,Notes,Paired?,Date Shot,Time Shot,Fecal Quality,Fecal Loc,Brood ID,Hen Band #,"Wet, Dry, Pipping?",Brood Size,HEN STATUS?,decoy band,Cloacal Sample ID,Oral Sample ID,Notes.1,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8
A/northern pintail/Interior Alaska/9BM5054R0/2009(H10N7),9BM5054,1146-18564,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.93807,148.80484,2255,29-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB4,58,28-Jul-09,Y,O,MIGRANT,733,103.3,47.9,240,,4,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY135196*,CY135195*,CY135194*,CY135189,CY135192,CY135191,CY135190,CY135193
A/American green-winged teal/Interior Alaska/9BM5277R0/2009(H4N6),9BM5277,934-93390,,,,AGWT,Anas crecca,M,A,H,AHY,AHY,W,M,C,64.93762,148.83144,1330,30-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B14,327,30-Jul-09,N,,MIGRANT,290,78.8,37.7,178,,0,,,,SNAG LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY135558,CY135557,CY135556,CY135551,CY135554,CY135553,CY135552,CY135555
A/northern pintail/Interior Alaska/9BM5375R0/2009(H10N7),9BM5375,1146-18564,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.93807,148.80484,2115,30-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB5,80,28-Jul-09,Y,O,MIGRANT,703,,,240,,3,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY135566,CY135565,CY135564,CY135559,CY135562,CY135561,CY135560,CY135563
A/northern pintail/Interior Alaska/9BM5376R0/2009(H10N7),9BM5376,1146-18564,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.93807,148.80484,2115,30-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB5,80,28-Jul-09,Y,O,MIGRANT,703,,,240,,3,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY135574,CY135573,CY135572,CY135567,CY135570,CY135569,CY135568,CY135571
A/northern pintail/Interior Alaska/9BM5554R0/2009(H10N7),9BM5554,1146-18766,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,OP,64.93807,148.80484,1100,31-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B18,416,31-Jul-09,N,,MIGRANT,856,101,47.9,252,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY135582,CY135581,CY135580,CY135575,CY135578,CY135577,CY135576,CY135579
A/northern pintail/Interior Alaska/9BM5698R0/2009(H10N7),9BM5698,1146-18784,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.91893,148.80943,2230,31-Jul-09,7,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B20,478,31-Jul-09,N,,MIGRANT,751,101.5,48,248,,3,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY135590,CY135589,CY135588,CY135583,CY135586,CY135585,CY135584,CY135587
A/northern pintail/Interior Alaska/9BM5941R0/2009(H10N7),9BM5941,1146-18538,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.93807,148.80484,2120,1-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB7,129,27-Jul-09,Y,O,MIGRANT,668,97.8,48,246,,0,25,9BM20025,9BM30025,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142425,CY142424,CY142423,CY142418,CY142421,CY142420,CY142419,CY142422
A/northern pintail/Interior Alaska/9BM6019R1/2009(H10N7),9BM6019,1146-18870,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C - 2ND,64.91893,148.80943,900,2-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B25,593,2-Aug-09,N,,MIGRANT,725,95.4,46,252,,0,32,9BM20032,9BM30032,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY141432*,CY141430*,CY141429*,CY141424*,CY141427*,CY141426*,CY141425*,CY141428*
A/northern pintail/Interior Alaska/9BM6019R1/2009(H10N7),9BM6019,1146-18870,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C - 2ND,64.91893,148.80943,900,2-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B25,593,2-Aug-09,N,,MIGRANT,725,95.4,46,252,,0,32,9BM20032,9BM30032,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY141432*,CY141430*,CY141429*,CY141423*,CY141427*,CY141426*,CY141425*,CY141428*
A/northern pintail/Interior Alaska/9BM6019R1/2009(H10N7),9BM6019,1146-18870,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C - 2ND,64.91893,148.80943,900,2-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B25,593,2-Aug-09,N,,MIGRANT,725,95.4,46,252,,0,32,9BM20032,9BM30032,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY141431*,CY141430*,CY141429*,CY141424*,CY141427*,CY141426*,CY141425*,CY141428*
A/northern pintail/Interior Alaska/9BM6019R1/2009(H10N7),9BM6019,1146-18870,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C - 2ND,64.91893,148.80943,900,2-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B25,593,2-Aug-09,N,,MIGRANT,725,95.4,46,252,,0,32,9BM20032,9BM30032,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY141431*,CY141430*,CY141429*,CY141423*,CY141427*,CY141426*,CY141425*,CY141428*
A/northern pintail/Interior Alaska/9BM6039R0/2009(H4N6),9BM6039,1146-18878,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.89625,148.82562,1037,2-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B26,603,2-Aug-09,N,,MIGRANT,762,101,48,254,,0,,,,ELLIOT'S,BAIT TRAP,,,,,,,,,,,,,,,,,,CY143427,CY143426,CY143425,CY143420,CY143423,CY143422,CY143421,CY143424
A/northern pintail/Interior Alaska/9BM6040R0/2009(H4N6),9BM6040,1146-18878,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.89625,148.82562,1037,2-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B26,603,2-Aug-09,N,,MIGRANT,762,101,48,254,,0,,,,ELLIOT'S,BAIT TRAP,,,,,,,,,,,,,,,,,,CY143363,CY143362,CY143361,CY143356,CY143359,CY143358,CY143357,CY143360
A/northern pintail/Interior Alaska/9BM6094R0/2009(H4N6),9BM6094,1146-18889,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.93807,148.80484,1212,2-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B26,614,2-Aug-09,N,,MIGRANT,795,105.9,50.7,258,,0,41,9BM20041,9BM30041,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY143435,CY143434,CY143433,CY143428,CY143431,CY143430,CY143429,CY143432
A/northern pintail/Interior Alaska/9BM6095R0/2009(H4N6),9BM6095,1146-18889,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C - 2ND,64.93807,148.80484,1212,2-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B26,614,2-Aug-09,N,,MIGRANT,795,105.9,50.7,258,,0,41,9BM20041,9BM30041,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY143443,CY143442,CY143441,CY143436,CY143439,CY143438,CY143437,CY143440
A/northern pintail/Interior Alaska/9BM6144R0/2009(H3N8),9BM6144,1146-18901,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.93807,148.80484,2201,2-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B27,635,2-Aug-09,N,,MIGRANT,720,99.5,48.6,253,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142593,CY142592,CY142591,CY142586,CY142589,CY142588,CY142587,CY142590
A/northern pintail/Interior Alaska/9BM6145R0/2009(H3N8),9BM6145,1146-18901,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.93807,148.80484,2201,2-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B27,635,2-Aug-09,N,,MIGRANT,720,99.5,48.6,253,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY143371,CY143370,CY143369,CY143364,CY143367,CY143366,CY143365,CY143368
A/northern pintail/Interior Alaska/9BM6146R0/2009(H3N8),9BM6146,1146-18902,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C,64.93807,148.80484,2201,2-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B27,636,2-Aug-09,N,,MIGRANT,906,99.5,49.4,255,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142601,CY142600,CY142599,CY142594,CY142597,CY142596,CY142595,CY142598
A/northern pintail/Interior Alaska/9BM6164R0/2009(H10N7),9BM6164,1146-18564,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.93807,148.80484,2201,2-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB8,158,28-Jul-09,Y,O,MIGRANT,736,,,245,,4,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY141997,CY141996,CY141995,CY141990,CY141993,CY141992,CY141991,CY141994
A/northern pintail/Interior Alaska/9BM6165R0/2009(H10N7),9BM6165,1146-18564,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,OP,64.93807,148.80484,2201,2-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB8,158,28-Jul-09,Y,O,MIGRANT,736,,,245,,4,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY141422,CY141421,CY141420,CY141415,CY141418,CY141417,CY141416,CY141419
A/northern pintail/Interior Alaska/9BM6205R0/2009(H10N7),9BM6205,1146-18917,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.91893,148.80943,2300,2-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B28,657,2-Aug-09,N,,MIGRANT,742,97.4,47,256,,4,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142005,CY142004,CY142003,CY141998,CY142001,CY142000,CY141999,CY142002
A/American green-winged teal/Interior Alaska/9BM6222R0/2009(H10N7),9BM6222,934-93511,,,,AGWT,Anas crecca,M,A,H,AHY,AHY,W,M,C,64.91893,148.80943,912,3-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B28,665,3-Aug-09,N,,MIGRANT,343,81.5,44.4,184,,1,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142013,CY142012,CY142011,CY142006,CY142009,CY142008,CY142007,CY142010
A/American green-winged teal/Interior Alaska/9BM6223R0/2009(H10N7),9BM6223,934-93511,,,,AGWT,Anas crecca,M,A,H,AHY,AHY,W,M,OP,64.91893,148.80943,912,3-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B28,665,3-Aug-09,N,,MIGRANT,343,81.5,44.4,184,,1,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142433,CY142432,CY142431,CY142426,CY142429,CY142428,CY142427,CY142430
A/American green-winged teal/Interior Alaska/9BM6225R0/2009(H10N7),9BM6225,934-93512,,,,AGWT,Anas crecca,M,A,H,AHY,AHY,W,M,OP,64.91893,148.80943,912,3-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B28,666,3-Aug-09,N,,MIGRANT,306,79.5,35.2,157,,1,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142441,CY142440,CY142439,CY142434,CY142437,CY142436,CY142435,CY142438
A/northern pintail/Interior Alaska/9BM6229R0/2009(H10N7),9BM6229,1146-18925,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,OP,64.91893,148.80943,912,3-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B28,668,3-Aug-09,N,,MIGRANT,763,104,48.8,260,,0,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142449,CY142448,CY142447,CY142442,CY142445,CY142444,CY142443,CY142446
A/northern pintail/Interior Alaska/9BM6248R0/2009(H4N6),9BM6248,1146-18932,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.93828,148.80984,1115,3-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B29,677,3-Aug-09,N,,MIGRANT,809,104.3,50.6,263,,1,,,,SAM BERRY W,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142609,CY142608,CY142607,CY142602,CY142605,CY142604,CY142603,CY142606
A/American green-winged teal/Interior Alaska/9BM6258R0/2009(H4N6),9BM6258,934-93517,,,,AGWT,Anas crecca,F,A,H,AHY,AHY,W,M,C,64.93762,148.83144,1128,3-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B29,682,3-Aug-09,N,,MIGRANT,280,74.8,34.1,169,,0,,,,SNAG LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142617,CY142616,CY142615,CY142610,CY142613,CY142612,CY142611,CY142614
A/northern pintail/Interior Alaska/9BM6290R0/2009(H3N8),9BM6290,1146-18943,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.93807,148.80484,1141,3-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B29,698,3-Aug-09,N,,MIGRANT,631,96.9,48.8,249,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142625,CY142624,CY142623,CY142618,CY142621,CY142620,CY142619,CY142622
A/American green-winged teal/Interior Alaska/9BM6410R0/2009(H3N8),9BM6410,934-93525,,,,AGWT,Anas crecca,M,A,H,HY,HY,W,M,C,64.93762,148.83144,2146,3-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B31,709,3-Aug-09,N,,MIGRANT,335,80.5,35.1,181,,1,,,,SNAG LAKE,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142633,CY142632,CY142631,CY142626,CY142629,CY142628,CY142627,CY142630
A/American green-winged teal/Interior Alaska/9BM6428R0/2009(H10N7),9BM6428,934-93529,,,,AGWT,Anas crecca,F,A,H,AHY,AHY,W,M,C,64.89625,148.82562,2200,3-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B31,718,3-Aug-09,N,,MIGRANT,299,79.3,34.3,168,,0,,,,ELLIOT'S,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142032,CY142031,CY142030,CY142025,CY142028,CY142027,CY142026,CY142029
A/northern pintail/Interior Alaska/9BM6494R0/2009(H4N6),9BM6494,1146-18978,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.93807,148.80484,2233,3-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B32,751,3-Aug-09,N,,MIGRANT,666,96.8,46.9,246,,1,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142641,CY142640,CY142639,CY142634,CY142637,CY142636,CY142635,CY142638
A/northern pintail/Interior Alaska/9BM6510R0/2009(H8N4),9BM6510,1146-18979,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.91893,148.80943,850,4-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B32,752,4-Aug-09,N,,MIGRANT,1014,106.9,51.9,265,,3,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142040,CY142039,CY142038,CY142033,CY142036,CY142035,CY142034,CY142037
A/American green-winged teal/Interior Alaska/9BM6702R0/2009(H10N7),9BM6702,934-93580,,,,AGWT,Anas crecca,M,A,H,AHY,AHY,W,M,C,64.91893,148.80943,2309,4-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B36,836,4-Aug-09,N,,MIGRANT,331,77.8,35.3,169,,1,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142048,CY142047,CY142046,CY142041,CY142044,CY142043,CY142042,CY142045
A/northern pintail/Interior Alaska/9BM6800R0/2009(H4N6),9BM6800,1146-19060,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.93807,148.80484,1219,5-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B37,876,5-Aug-09,N,,MIGRANT,599,95.6,47.2,235,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY141440*,CY141439*,CY141438*,CY141433*,CY141436*,CY141435*,CY141434*,CY141437*
A/mallard/Interior Alaska/9BM6886R0/2009(H4N6),9BM6886,1757-75103,,,,MALL,Anas platyrhynchos,M,A,H,2C,HY,W,M,C,64.92196,148.7722,930,10-Aug-09,8,2009,Michael J. Petrula,"Minto Flats, USA, AK",MP3,44,U,,,DUCKLING,888,105.3,51.9,,49.9,0,,,,NORTH MINTO,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142649,CY142648,CY142647,CY142642,CY142645,CY142644,CY142643,CY142646
A/mallard/Interior Alaska/9BM6888R0/2009(H10N7),9BM6888,1837-22477,,,,MALL,Anas platyrhynchos,M,A,H,HY,HY,W,M,C,64.92196,148.7722,930,10-Aug-09,8,2009,Michael J. Petrula,"Minto Flats, USA, AK",MP3,45,8-Jul-09,Y,O,MIGRANT,1161,109.7,52.2,264,,1,,,,NORTH MINTO,BAIT TRAP,,,,,,,,,,,,,,,,,,CY136069,CY136068,CY136067,CY136062,CY136065,CY136064,CY136063,CY136066
A/northern pintail/Interior Alaska/9BM6902R0/2009(H3N8),9BM6902,1146-19061,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C,64.93807,148.80484,1219,5-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B37,877,5-Aug-09,N,,MIGRANT,850,102.5,48.3,260,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142657,CY142656,CY142655,CY142650,CY142653,CY142652,CY142651,CY142654
A/northern pintail/Interior Alaska/9BM6960R0/2009(H3N8),9BM6960,1146-19075,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.91893,148.80943,1933,5-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B38,904,5-Aug-09,N,,MIGRANT,834,104.5,50,259,,0,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY136077,CY136076,CY136075,CY136070,CY136073,CY136072,CY136071,CY136074
A/northern pintail/Interior Alaska/9BM7044R0/2009(H3N8),9BM7044,1146-19111,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.91893,148.80943,900,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B40,943,6-Aug-09,N,,MIGRANT,926,110.1,51.8,268,,0,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142665,CY142664,CY142663,CY142658,CY142661,CY142660,CY142659,CY142662
A/northern pintail/Interior Alaska/9BM7050R0/2009(H3N8),9BM7050,1146-19114,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.91893,148.80943,900,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B40,946,6-Aug-09,N,,MIGRANT,823,105.8,50.7,259,,0,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142673,CY142672,CY142671,CY142666,CY142669,CY142668,CY142667,CY142670
A/northern pintail/Interior Alaska/9BM7052R0/2009(H3N8),9BM7052,1146-19115,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.91893,148.80943,900,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B40,947,6-Aug-09,N,,MIGRANT,779,102.4,49.4,269,,0,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142905,CY142904,CY142903,CY142898,CY142901,CY142900,CY142899,CY142902
A/northern pintail/Interior Alaska/9BM7055R0/2009(H3N8),9BM7055,1146-19116,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,OP,64.91893,148.80943,900,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B40,948,6-Aug-09,N,,MIGRANT,747,109.2,49.9,258,,0,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY143379,CY143378,CY143377,CY143372,CY143375,CY143374,CY143373,CY143376
A/northern pintail/Interior Alaska/9BM7069R0/2009(H3N8),9BM7069,1146-19123,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,OP,64.91893,148.80943,900,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B40,955,6-Aug-09,N,,MIGRANT,851,104.4,51,261,,2,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY143387,CY143386,CY143385,CY143380,CY143383,CY143382,CY143381,CY143384
A/northern pintail/Interior Alaska/9BM7108R2/2009(H3N8),9BM7108,1146-19130,,,,NOPI,Anas acuta,F,A,H,AHY,AHY,W,M,C,64.93807,148.80484,1215,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B41,966,6-Aug-09,N,,MIGRANT,841,97.1,46.3,250,,1,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY136130,CY136129,CY136128,CY136123,CY136126,CY136125,CY136124,CY136127
A/northern pintail/Interior Alaska/9BM7118R1/2009(H3N8),9BM7118,1146-19135,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.93807,148.80484,1215,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B41,971,6-Aug-09,N,,MIGRANT,829,95.8,48.1,262,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142681,CY142680,CY142679,CY142674,CY142677,CY142676,CY142675,CY142678
A/northern pintail/Interior Alaska/9BM7152R2/2009(H8N4),9BM7152,1146-19152,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.93807,148.80484,1215,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B42,988,6-Aug-09,N,,MIGRANT,889,105.2,50.2,254,,2,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142056,CY142055,CY142054,CY142049,CY142052,CY142051,CY142050,CY142053
A/mallard/Interior Alaska/9BM7162R0/2009(H8N4),9BM7162,1837-22646,,,,MALL,Anas platyrhynchos,M,A,H,HY,HY,W,M,C,64.93807,148.80484,1215,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B42,993,6-Aug-09,N,,MIGRANT,1289,112.4,54.8,290,,4,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142064,CY142063,CY142062,CY142057,CY142060,CY142059,CY142058,CY142061
A/American green-winged teal/Interior Alaska/9BM7190R0/2009(H10N7),9BM7190,934-93606,,,,AGWT,Anas crecca,M,A,H,AHY,AHY,W,M,C,64.93807,148.80484,2105,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B42,996,6-Aug-09,N,,MIGRANT,279,78.7,35.4,172,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142072,CY142071,CY142070,CY142065,CY142068,CY142067,CY142066,CY142069
A/mallard/Interior Alaska/9BM7216R0/2009(H8N4),9BM7216,1837-22648,,,,MALL,Anas platyrhynchos,M,A,H,HY,HY,W,M,C,64.93807,148.80484,2105,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B43,1009,6-Aug-09,N,,MIGRANT,1225,111,54.1,283,,3,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142080,CY142079,CY142078,CY142073,CY142076,CY142075,CY142074,CY142077
A/mallard/Interior Alaska/9BM7218R0/2009(H10N7),9BM7218,1837-22649,,,,MALL,Anas platyrhynchos,M,A,H,AHY,AHY,W,M,C,64.93807,148.80484,2105,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B43,1010,6-Aug-09,N,,MIGRANT,1032,107.9,50.6,257,,2,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142088,CY142087,CY142086,CY142081,CY142084,CY142083,CY142082,CY142085
A/northern pintail/Interior Alaska/9BM7232R0/2009(H4N6),9BM7232,1146-18741,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.93807,148.80484,2105,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",RB11,219,30-Jul-09,Y,O,MIGRANT,905,,,267,,0,,,,SAM BERRY E,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142689,CY142688,CY142687,CY142682,CY142685,CY142684,CY142683,CY142686
A/northern pintail/Interior Alaska/9BM7240R0/2009(H8N4),9BM7240,1146-19168,,,,NOPI,Anas acuta,F,A,H,HY,HY,W,M,C,64.91893,148.80943,2315,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B43,1016,6-Aug-09,N,,MIGRANT,754,99.1,50.2,248,,3,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142096,CY142095,CY142094,CY142089,CY142092,CY142091,CY142090,CY142093
A/northern pintail/Interior Alaska/9BM7252R0/2009(H3N8),9BM7252,1146-19174,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.91893,148.80943,2315,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B43,1022,6-Aug-09,N,,MIGRANT,761,105.3,48.9,261,,0,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142697,CY142696,CY142695,CY142690,CY142693,CY142692,CY142691,CY142694
A/northern pintail/Interior Alaska/9BM7254R0/2009(H3N8),9BM7254,1146-19175,,,,NOPI,Anas acuta,M,A,H,HY,HY,W,M,C,64.91893,148.80943,2315,6-Aug-09,8,2009,Brandt W. Meixell,"Minto Flats, USA, AK",B43,1023,6-Aug-09,N,,MIGRANT,768,105,48.4,259,,0,,,,WACKY DUCK NECK E BAIT 2,BAIT TRAP,,,,,,,,,,,,,,,,,,CY142705,CY142704,CY142703,CY142698,CY142701,CY142700,CY142699,CY142702
